model,day,hour,pv_kw,temp_outdoor,n_home,battery_soc,ev_soc,cumulative_import_kwh,cumulative_export_kwh,step_bill_vnd,total_bill_vnd,comfort_score,wm_remaining,dw_remaining,action_battery,action_ac_living,action_ac_master,action_ac_bed2,action_ev,action_wm,action_dw,reward,temp_living,temp_master,temp_bed2
PPO,2,22,0.0,26.705904774487397,2,0.1,1.0,12.916351556777954,46.24529314041138,0.0,25626.04148864746,44.573089599609375,0,0,-1.0,-1.0,-1.0,-1.0,-0.5865573883056641,1.0,0.976007342338562,-10.889438390731812,28.383758544921875,28.98942756652832,28.712196350097656
PPO,2,23,0.0,25.5,2,0.1,1.0,13.436121702194214,46.24529314041138,1031.2239685058594,26657.26545715332,49.36578369140625,0,0,-1.0,-1.0,-1.0,-1.0,-0.03720854967832565,1.0,1.0,-9.141613461494446,28.095382690429688,28.640483856201172,28.390975952148438
PPO,3,0,0.0,24.464466094067262,2,0.18421050906181335,0.5093138813972473,5.84999942779541,0.0,11606.398864746094,11606.398864746094,100.0,1,0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-7.120726585648277,24.946447372436523,24.946447372436523,24.946447372436523
PPO,3,1,0.0,23.669872981077805,2,0.1,0.6843138933181763,10.499999523162842,0.0,9225.600189208984,20831.999053955078,100.0,0,0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-5.0004707903862,24.818790435791016,24.818790435791016,24.818790435791016
PPO,3,2,0.0,23.17037086855466,2,0.1,0.8099588751792908,12.675798416137695,0.0,4316.785003662109,25148.784057617188,100.0,0,0,-1.0,-1.0,-1.0,-1.0,0.43594250082969666,1.0,1.0,-2.239466501235962,24.653947830200195,24.653947830200195,24.653947830200195
PPO,3,3,0.0,23.0,2,0.1,0.9145195484161377,14.008224487304688,0.0,2643.5333251953125,27792.3173828125,100.0,0,0,-1.0,-1.0,-1.0,-1.0,0.19497880339622498,1.0,1.0,-1.3217666625976563,24.48855209350586,24.48855209350586,24.48855209350586
PPO,3,4,0.0,23.17037086855466,2,0.1,0.9887344837188721,14.126822710037231,0.0,235.2988739013672,28027.616256713867,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-0.15182912349700928,1.0,1.0,-0.1176494369506836,24.356733322143555,24.356733322143555,24.356733322143555
PPO,3,5,0.0,23.66987298107781,2,0.1,1.0,14.126822710037231,1.1810718774795532,0.0,28027.616256713867,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-0.523163378238678,1.0,1.0,-0.0,24.288047790527344,24.288047790527344,24.288047790527344
PPO,3,6,0.0,24.464466094067262,2,0.1,1.0,14.126822710037231,3.5027672052383423,0.0,28027.616256713867,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-0.8490557670593262,1.0,0.9066261053085327,-0.0,24.305688858032227,24.305688858032227,24.305688858032227
PPO,3,7,0.0,25.5,2,0.1,1.0,14.126822710037231,6.352767109870911,0.0,28027.616256713867,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.6897141933441162,-0.0,24.425119400024414,24.425119400024414,24.425119400024414
PPO,3,8,0.0,26.705904774487397,0,0.1,1.0,14.126822710037231,9.202767014503479,0.0,28027.616256713867,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7178878784179688,0.08446771651506424,-0.0,24.6531982421875,24.6531982421875,24.6531982421875
PPO,3,9,0.0,28.0,0,0.1,1.0,14.126822710037231,12.052766919136047,0.0,28027.616256713867,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.37134698033332825,-0.18858322501182556,-0.0,24.987878799438477,24.987878799438477,24.987878799438477
PPO,3,10,0.0,29.294095225512603,0,0.1,1.0,14.126822710037231,14.902766823768616,0.0,28027.616256713867,100.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16336725652217865,-0.3543393909931183,-0.0,25.418500900268555,25.418500900268555,25.418500900268555
PPO,3,11,0.0,30.5,0,0.1,1.0,14.126822710037231,17.632176756858826,0.0,28027.616256713867,100.0,0,0,-1.0,-0.8794098496437073,-1.0,-1.0,-1.0,0.05131537839770317,-0.4431684613227844,-0.0,25.806060791015625,25.926651000976562,25.926651000976562
PPO,3,12,0.0,31.535533905932738,0,0.1,1.0,14.126822710037231,20.218113780021667,0.0,28027.616256713867,100.0,0,0,-1.0,-0.7359370589256287,-1.0,-1.0,-1.0,-0.002442645840346813,-0.49310436844825745,-0.0,26.114944458007812,26.487539291381836,26.487539291381836
PPO,3,13,0.0,32.33012701892219,0,0.1,1.0,14.126822710037231,22.76981818675995,0.0,28027.616256713867,79.31690216064453,0,0,-1.0,-0.7051934003829956,-1.0,-0.9930220246315002,-1.0,-0.01700275018811226,-0.521431028842926,-0.0,26.4416561126709,27.07179832458496,27.064821243286133
PPO,3,14,0.0,32.829629131445344,0,0.1,1.0,14.126822710037231,25.299259781837463,0.0,28027.616256713867,74.07243347167969,0,0,-1.0,-0.7311269044876099,-1.0,-0.896629273891449,-1.0,-0.003956126980483532,-0.5303154587745667,-0.0,26.811580657958984,27.647581100463867,27.537931442260742
PPO,3,15,0.0,33.0,0,0.1,1.0,14.126822710037231,27.841009497642517,0.0,28027.616256713867,58.43235397338867,0,0,-1.0,-0.7673521041870117,-1.0,-0.8487951159477234,-1.0,0.02514619752764702,-0.5176881551742554,-0.0,27.197772979736328,28.182823181152344,27.932933807373047
PPO,3,16,0.0,32.829629131445344,0,0.1,1.0,14.126822710037231,30.440099358558655,0.0,28027.616256713867,52.49967575073242,0,0,-1.0,-0.8291792273521423,-1.0,-0.839821457862854,-1.0,0.07302208244800568,-0.4850735664367676,-0.0,27.590137481689453,28.647502899169922,28.26242446899414
PPO,3,17,0.0,32.33012701892219,0,0.1,1.0,14.126822710037231,33.154561161994934,0.0,28027.616256713867,47.318336486816406,0,0,-1.0,-0.9259220957756042,-1.0,-0.8770796656608582,-1.0,0.14653533697128296,-0.4271255135536194,-0.0,27.99005889892578,29.015766143798828,28.546274185180664
